Year,Country,Exports,Country Key,Iterating Key
2011,Brazil,33806.00933,3,22
2012,Brazil,28549.42589,3,23
2013,Brazil,31650.56295,3,24
2014,Brazil,37335.17283,3,25
2015,Brazil,37562.84675,3,26
2016,Brazil,34269.15025,3,27
2017,Brazil,30924.56785,3,28
2018,Brazil,35637.35859,3,29
2019,Brazil,40697.86371,3,30
1990,Burundi,584.773,4,1
1991,Burundi,687.851,4,2
1992,Burundi,645.858,4,3
1993,Burundi,417.609,4,4
1994,Burundi,507.803,4,5
1995,Burundi,528.202,4,6
1996,Burundi,224.076,4,7
1997,Burundi,528.764,4,8
1998,Burundi,373.841,4,9
1999,Burundi,408.748,4,10
2000,Burundi,444.242,4,11
2001,Burundi,303.166,4,12
2002,Burundi,288.607,4,13
2003,Burundi,475.98,4,14
2004,Burundi,338.925,4,15
2005,Burundi,371.441,4,16
2006,Burundi,280.927,4,17
2007,Burundi,356.114,4,18
2008,Burundi,250.6982333,4,19
2009,Burundi,288.83,4,20
2010,Burundi,307.1189581,4,21
2011,Burundi,217.8457992,4,22
2012,Burundi,392.0069167,4,23
2013,Burundi,194.7158834,4,24
2014,Burundi,252.178,4,25
2015,Burundi,230.18855,4,26
2016,Burundi,204.2708313,4,27
2017,Burundi,168.8762643,4,28
2018,Burundi,201.7252364,4,29
2019,Burundi,292.8872914,4,30
1990,Cameroon,2611.259,5,1
1991,Cameroon,1752.179,5,2
1992,Cameroon,1645.851,5,3
1993,Cameroon,704.53,5,4
1994,Cameroon,545.889,5,5
1995,Cameroon,407.269,5,6
1996,Cameroon,563.549,5,7
1997,Cameroon,1368.03,5,8
1998,Cameroon,745.718,5,9
1999,Cameroon,1154.047,5,10
2000,Cameroon,1204.964,5,11
2001,Cameroon,1125.159,5,12
2002,Cameroon,639.688,5,13
2003,Cameroon,814.341,5,14
2004,Cameroon,734.325,5,15
2005,Cameroon,704.3954,5,16
2006,Cameroon,739.1189167,5,17
2007,Cameroon,720.62075,5,18
2008,Cameroon,527.0159667,5,19
2009,Cameroon,617.7570333,5,20
2010,Cameroon,793.8456667,5,21
2011,Cameroon,490.2830667,5,22
2012,Cameroon,621.8128,5,23
2013,Cameroon,271.9492167,5,24
2014,Cameroon,375.0338667,5,25
2015,Cameroon,390.1427167,5,26
2016,Cameroon,281.1289667,5,27
2017,Cameroon,245.0171167,5,28
2018,Cameroon,287.41525,5,29
2019,Cameroon,249.9023999,5,30
1990,Central African Republic,196.698,6,1
1991,Central African Republic,140.95,6,2
1992,Central African Republic,99.975,6,3
1993,Central African Republic,137.197,6,4
1994,Central African Republic,136.676,6,5
1995,Central African Republic,231.542,6,6
1996,Central African Republic,98.328,6,7
1997,Central African Republic,202.778,6,8
1998,Central African Republic,102.32,6,9
1999,Central African Republic,194.884,6,10
2000,Central African Republic,202.816,6,11
2001,Central African Republic,94.316,6,12
2002,Central African Republic,95.435,6,13
2003,Central African Republic,39.83,6,14
2004,Central African Republic,63.92,6,15
2005,Central African Republic,46.5612127,6,16
2006,Central African Republic,16.517692,6,17
2007,Central African Republic,121.9396667,6,18
2008,Central African Republic,32.633,6,19
2009,Central African Republic,61.582,6,20
2010,Central African Republic,95.194,6,21
2011,Central African Republic,77.943,6,22
2012,Central African Republic,77.692,6,23
2013,Central African Republic,1,6,24
2014,Central African Republic,75.027,6,25
2015,Central African Republic,43.214,6,26
2016,Central African Republic,80.018,6,27
2017,Central African Republic,18.1126667,6,28
2018,Central African Republic,38.528,6,29
2019,Central African Republic,19.2733333,6,30
1990,Colombia,13943.87,7,1
1991,Colombia,12599.185,7,2
1992,Colombia,16564.37,7,3
1993,Colombia,13568.362,7,4
1994,Colombia,11768.089,7,5
1995,Colombia,9814.197,7,6
1996,Colombia,10588.431,7,7
1997,Colombia,10918.863,7,8
1998,Colombia,11259.929,7,9
1999,Colombia,9995.310001,7,10
2000,Colombia,9176.66091,7,11
2001,Colombia,9943.630001,7,12
2002,Colombia,10273.425,7,13
2003,Colombia,10244.392,7,14
2004,Colombia,10194.315,7,15
2005,Colombia,10871.24697,7,16
2006,Colombia,10944.85346,7,17
2007,Colombia,11300.42069,7,18
2008,Colombia,11085.1702,7,19
2009,Colombia,7893.926795,7,20
2010,Colombia,7821.634504,7,21
2011,Colombia,7733.625254,7,22
2012,Colombia,7170.203291,7,23
2013,Colombia,9669.907367,7,24
2014,Colombia,10954.40836,7,25
2015,Colombia,12716.38467,7,26
2016,Colombia,12831.39073,7,27
2017,Colombia,12984.59575,7,28
2018,Colombia,12807.97262,7,29
2019,Colombia,13672.2256,7,30
1990,Congo,1.68,8,1
1991,Congo,0.924,8,2
1992,Congo,0.336,8,3
1993,Congo,0.504,8,4
1994,Congo,1.017,8,5
1995,Congo,19.149,8,6
1996,Congo,12.634,8,7
1997,Congo,2.67,8,8
1998,Congo,0,8,9
1999,Congo,0,8,10
2000,Congo,0,8,11
2001,Congo,0,8,12
2002,Congo,0,8,13
2003,Congo,0,8,14
2004,Congo,0,8,15
2005,Congo,0,8,16
2006,Congo,0,8,17
2007,Congo,0,8,18
2008,Congo,0,8,19
2009,Congo,0,8,20
2010,Congo,0,8,21
2011,Congo,0,8,22
2012,Congo,0,8,23
2013,Congo,0,8,24
2014,Congo,0,8,25
2015,Congo,0.0020367,8,26
2016,Congo,0,8,27
2017,Congo,0,8,28
2018,Congo,0.0130833,8,29
2019,Congo,0.0005553,8,30
1990,Costa Rica,2265.644,9,1
1991,Costa Rica,2399.64,9,2
1992,Costa Rica,2431.340001,9,3
1993,Costa Rica,2363.92,9,4
1994,Costa Rica,2104.968,9,5
1995,Costa Rica,2067.011,9,6
1996,Costa Rica,2430.134,9,7
1997,Costa Rica,2099.239,9,8
1998,Costa Rica,2044.558001,9,9
1999,Costa Rica,2194.911004,9,10
2000,Costa Rica,1964.980041,9,11
2001,Costa Rica,2018.297,9,12
2002,Costa Rica,1784.034002,9,13
2003,Costa Rica,1701.812,9,14
2004,Costa Rica,1423.940001,9,15
2005,Costa Rica,1480.335985,9,16
2006,Costa Rica,1310.369409,9,17
2007,Costa Rica,1363.850156,9,18
2008,Costa Rica,1440.082759,9,19
2009,Costa Rica,1235.645154,9,20
2010,Costa Rica,1199.982617,9,21
2011,Costa Rica,1243.059935,9,22
2012,Costa Rica,1373.667164,9,23
2013,Costa Rica,1343.951587,9,24
2014,Costa Rica,1208.918498,9,25
2015,Costa Rica,1128.190321,9,26
2016,Costa Rica,1006.928354,9,27
2017,Costa Rica,987.1546413,9,28
2018,Costa Rica,1207.946296,9,29
2019,Costa Rica,1039.144361,9,30
1990,Côte d'Ivoire,4282.866,10,1
1991,Côte d'Ivoire,3804.734001,10,2
1992,Côte d'Ivoire,4546.368,10,3
1993,Côte d'Ivoire,4033.107001,10,4
1994,Côte d'Ivoire,2443.993,10,5
1995,Côte d'Ivoire,2493.946,10,6
1996,Côte d'Ivoire,2750.602999,10,7
1997,Côte d'Ivoire,4712.982001,10,8
1998,Côte d'Ivoire,4365.288002,10,9
1999,Côte d'Ivoire,2406.01,10,10
2000,Côte d'Ivoire,6109.6138,10,11
2001,Côte d'Ivoire,4094.522,10,12
2002,Côte d'Ivoire,3253.215002,10,13
2003,Côte d'Ivoire,2646.649001,10,14
2004,Côte d'Ivoire,2572.733999,10,15
2005,Côte d'Ivoire,1753.849255,10,16
2006,Côte d'Ivoire,1751.069938,10,17
2007,Côte d'Ivoire,2195.601515,10,18
2008,Côte d'Ivoire,1490.235475,10,19
2009,Côte d'Ivoire,1806.525716,10,20
2010,Côte d'Ivoire,1912.053443,10,21
2011,Côte d'Ivoire,772.2421667,10,22
2012,Côte d'Ivoire,1711.765617,10,23
2013,Côte d'Ivoire,1962.070767,10,24
2014,Côte d'Ivoire,1489.15115,10,25
2015,Côte d'Ivoire,1418.375167,10,26
2016,Côte d'Ivoire,1432.0436,10,27
2017,Côte d'Ivoire,854.6205832,10,28
2018,Côte d'Ivoire,1522.457567,10,29
2019,Côte d'Ivoire,2104.25716,10,30
1990,Cuba,181.7789999,11,1
1991,Cuba,121.429,11,2
1992,Cuba,162.71,11,3
1993,Cuba,116.195,11,4
1994,Cuba,135.7250001,11,5
1995,Cuba,122.287,11,6
1996,Cuba,112.1710001,11,7
1997,Cuba,106.6630001,11,8
1998,Cuba,151.941,11,9
1999,Cuba,77.4130001,11,10
2000,Cuba,112.91898,11,11
2001,Cuba,108.625,11,12
2002,Cuba,57.42,11,13
2003,Cuba,50.14,11,14
2004,Cuba,24.838,11,15
2005,Cuba,23.684,11,16
2006,Cuba,15.9333333,11,17
2007,Cuba,15.64,11,18
2008,Cuba,3.85,11,19
2009,Cuba,7.462,11,20
2010,Cuba,5.26,11,21
2011,Cuba,9.755,11,22
2012,Cuba,15.312,11,23
2013,Cuba,12.415,11,24
2014,Cuba,13.241,11,25
2015,Cuba,12.79605,11,26
2016,Cuba,15.4021,11,27
2017,Cuba,15.1269672,11,28
2018,Cuba,33.3468849,11,29
2019,Cuba,22.4859929,11,30
1990,Democratic Republic of Congo,1838.636,12,1
1991,Democratic Republic of Congo,1417.957,12,2
1992,Democratic Republic of Congo,954.229,12,3
1993,Democratic Republic of Congo,919.506,12,4
1994,Democratic Republic of Congo,761.01,12,5
1995,Democratic Republic of Congo,1051.39,12,6
1996,Democratic Republic of Congo,881.561,12,7
1997,Democratic Republic of Congo,544.253,12,8
1998,Democratic Republic of Congo,640.369,12,9
1999,Democratic Republic of Congo,487.112,12,10
2000,Democratic Republic of Congo,281.328,12,11
2001,Democratic Republic of Congo,133.054,12,12
2002,Democratic Republic of Congo,179.221,12,13
2003,Democratic Republic of Congo,211.869,12,14
2004,Democratic Republic of Congo,252.586,12,15
2005,Democratic Republic of Congo,157.53,12,16
2006,Democratic Republic of Congo,138.0938333,12,17
2007,Democratic Republic of Congo,199.9877167,12,18
2008,Democratic Republic of Congo,203.2036167,12,19
2009,Democratic Republic of Congo,161.0017333,12,20
2010,Democratic Republic of Congo,162.1096,12,21
2011,Democratic Republic of Congo,131.6650667,12,22
2012,Democratic Republic of Congo,146.3839333,12,23
2013,Democratic Republic of Congo,140.1253333,12,24
2014,Democratic Republic of Congo,150.577,12,25
2015,Democratic Republic of Congo,128.285,12,26
2016,Democratic Republic of Congo,170.9553333,12,27
2017,Democratic Republic of Congo,88.6189908,12,28
2018,Democratic Republic of Congo,187.9996667,12,29
2019,Democratic Republic of Congo,204.5274071,12,30
1990,Dominican Republic,535.207,13,1
1991,Dominican Republic,476.2630001,13,2
1992,Dominican Republic,369.4670007,13,3
1993,Dominican Republic,331.4320003,13,4
1994,Dominican Republic,332.3130004,13,5
1995,Dominican Republic,451.0180003,13,6
1996,Dominican Republic,452.7040004,13,7
1997,Dominican Republic,306.9770001,13,8
1998,Dominican Republic,359.5050006,13,9
1999,Dominican Republic,160.5920023,13,10
2000,Dominican Republic,154.8670095,13,11
2001,Dominican Republic,97.3850021,13,12
2002,Dominican Republic,116.8180034,13,13
2003,Dominican Republic,151.438005,13,14
2004,Dominican Republic,45.5640004,13,15
2005,Dominican Republic,41.7670926,13,16
2006,Dominican Republic,124.6719635,13,17
2007,Dominican Republic,77.8296446,13,18
2008,Dominican Republic,81.6146814,13,19
2009,Dominican Republic,102.396398,13,20
2010,Dominican Republic,41.1307737,13,21
2011,Dominican Republic,88.5978933,13,22
2012,Dominican Republic,137.3830166,13,23
2013,Dominican Republic,64.7233119,13,24
2014,Dominican Republic,44.8342722,13,25
2015,Dominican Republic,19.1439671,13,26
2016,Dominican Republic,19.3625362,13,27
2017,Dominican Republic,24.3960478,13,28
2018,Dominican Republic,32.2031773,13,29
2019,Dominican Republic,27.3764164,13,30
1990,Ecuador,1783.716,14,1
1991,Ecuador,1416.383999,14,2
1992,Ecuador,1273.435001,14,3
1993,Ecuador,1598.666001,14,4
1994,Ecuador,2145.251,14,5
1995,Ecuador,1539.973999,14,6
1996,Ecuador,1539.411,14,7
1997,Ecuador,1044.980999,14,8
1998,Ecuador,1056.416,14,9
1999,Ecuador,988.0260009,14,10
2000,Ecuador,696.65018,14,11
2001,Ecuador,756.3890008,14,12
2002,Ecuador,565.2889991,14,13
2003,Ecuador,621.4529993,14,14
2004,Ecuador,703.9210016,14,15
2005,Ecuador,993.4850211,14,16
2006,Ecuador,1014.779219,14,17
2007,Ecuador,991.1147872,14,18
2008,Ecuador,868.4560753,14,19
2009,Ecuador,1086.2174,14,20
2010,Ecuador,1201.552727,14,21
2011,Ecuador,1532.256606,14,22
2012,Ecuador,1579.590942,14,23
2013,Ecuador,1262.12591,14,24
2014,Ecuador,1129.165184,14,25
2015,Ecuador,869.0484943,14,26
2016,Ecuador,922.6263392,14,27
2017,Ecuador,695.1462968,14,28
2018,Ecuador,482.6993325,14,29
2019,Ecuador,506.2668567,14,30
1990,El Salvador,2509.873,15,1
1991,El Salvador,2148.21,15,2
1992,El Salvador,2120.092,15,3
1993,El Salvador,2947.071,15,4
1994,El Salvador,2092.955,15,5
1995,El Salvador,1807.498,15,6
1996,El Salvador,2314.147,15,7
1997,El Salvador,2772.126,15,8
1998,El Salvador,1684.247001,15,9
1999,El Salvador,1889.815,15,10
2000,El Salvador,2536.57276,15,11
2001,El Salvador,1532.914,15,12
2002,El Salvador,1533.099001,15,13
2003,El Salvador,1304.03,15,14
2004,El Salvador,1327.533,15,15
2005,El Salvador,1279.880625,15,16
2006,El Salvador,1292.814608,15,17
2007,El Salvador,1210.358714,15,18
2008,El Salvador,1438.210559,15,19
2009,El Salvador,1309.200353,15,20
2010,El Salvador,1081.766626,15,21
2011,El Salvador,1826.30685,15,22
2012,El Salvador,1043.98601,15,23
2013,El Salvador,1102.743425,15,24
2014,El Salvador,461.64911,15,25
2015,El Salvador,575.8640571,15,26
2016,El Salvador,495.9930146,15,27
2017,El Salvador,527.1010812,15,28
2018,El Salvador,571.4240657,15,29
2019,El Salvador,545.8333946,15,30
1990,Equatorial Guinea,7.068,16,1
1991,Equatorial Guinea,3.321,16,2
1992,Equatorial Guinea,2.766,16,3
1993,Equatorial Guinea,2.463,16,4
1994,Equatorial Guinea,0.849,16,5
1995,Equatorial Guinea,3.385,16,6
1996,Equatorial Guinea,1.659,16,7
1997,Equatorial Guinea,1.12,16,8
1998,Equatorial Guinea,1.669,16,9
1999,Equatorial Guinea,1.036,16,10
2000,Equatorial Guinea,0.179,16,11
2001,Equatorial Guinea,0,16,12
2002,Equatorial Guinea,0,16,13
2003,Equatorial Guinea,0,16,14
2004,Equatorial Guinea,0,16,15
2005,Equatorial Guinea,0,16,16
2006,Equatorial Guinea,0,16,17
2007,Equatorial Guinea,0,16,18
2008,Equatorial Guinea,0,16,19
2009,Equatorial Guinea,0,16,20
2010,Equatorial Guinea,0,16,21
2011,Equatorial Guinea,0,16,22
2012,Equatorial Guinea,0,16,23
2013,Equatorial Guinea,0,16,24
2014,Equatorial Guinea,0,16,25
2015,Equatorial Guinea,0,16,26
2016,Equatorial Guinea,0,16,27
2017,Equatorial Guinea,0,16,28
2018,Equatorial Guinea,0.0580008,16,29
2019,Equatorial Guinea,0,16,30
1990,Ethiopia,1074.101,17,1
1991,Ethiopia,841.329,17,2
1992,Ethiopia,734.461,17,3
1993,Ethiopia,1166.778,17,4
1994,Ethiopia,1475.325,17,5
1995,Ethiopia,1276.118,17,6
1996,Ethiopia,1838.231,17,7
1997,Ethiopia,1979.733,17,8
1998,Ethiopia,1917.061,17,9
1999,Ethiopia,1818.087,17,10
2000,Ethiopia,1981.856,17,11
2001,Ethiopia,1376.062,17,12
2002,Ethiopia,2054.678,17,13
2003,Ethiopia,2229.143,17,14
2004,Ethiopia,2490.944,17,15
2005,Ethiopia,2435.069,17,16
2006,Ethiopia,2935.56,17,17
2007,Ethiopia,2604.008,17,18
2008,Ethiopia,2851.92097,17,19
2009,Ethiopia,1851.497453,17,20
2010,Ethiopia,3324.102551,17,21
2011,Ethiopia,2675.419013,17,22
2012,Ethiopia,3202.592407,17,23
2013,Ethiopia,2870.075248,17,24
2014,Ethiopia,3116.69037,17,25
2015,Ethiopia,2984.974817,17,26
2016,Ethiopia,3000.72445,17,27
2017,Ethiopia,3773.406333,17,28
2018,Ethiopia,3589.04802,17,29
2019,Ethiopia,3921.249773,17,30
1990,Gabon,2.314,18,1
1991,Gabon,3.338,18,2
1992,Gabon,1.007,18,3
1993,Gabon,2.178,18,4
1994,Gabon,5.039,18,5
1995,Gabon,2.946,18,6
1996,Gabon,1.681,18,7
1997,Gabon,0,18,8
1998,Gabon,1.765,18,9
1999,Gabon,2.5,18,10
2000,Gabon,0.584,18,11
2001,Gabon,2.024,18,12
2002,Gabon,0.25,18,13
2003,Gabon,0.95,18,14
2004,Gabon,0,18,15
2005,Gabon,0,18,16
2006,Gabon,1.091,18,17
2007,Gabon,0.403,18,18
2008,Gabon,0.421,18,19
2009,Gabon,0.675,18,20
2010,Gabon,0.81,18,21
2011,Gabon,0.7523333,18,22
2012,Gabon,0,18,23
2013,Gabon,0,18,24
2014,Gabon,0,18,25
2015,Gabon,0,18,26
2016,Gabon,0,18,27
2017,Gabon,0,18,28
2018,Gabon,0.0168127,18,29
2019,Gabon,0.03,18,30
1990,Ghana,10.865,19,1
1991,Ghana,15.702,19,2
1992,Ghana,32.245,19,3
1993,Ghana,47.482,19,4
1994,Ghana,10.815,19,5
1995,Ghana,38.152,19,6
1996,Ghana,4.359,19,7
1997,Ghana,29.669,19,8
1998,Ghana,17.787,19,9
1999,Ghana,94.408,19,10
2000,Ghana,90.63314,19,11
2001,Ghana,56.534,19,12
2002,Ghana,25.057,19,13
2003,Ghana,25.0281448,19,14
2004,Ghana,22.10685,19,15
2005,Ghana,17.5438,19,16
2006,Ghana,8.8198133,19,17
2007,Ghana,22.12315,19,18
2008,Ghana,36.0898333,19,19
2009,Ghana,23.6753833,19,20
2010,Ghana,6.6219345,19,21
2011,Ghana,72.0727358,19,22
2012,Ghana,30.4670629,19,23
2013,Ghana,22.6105125,19,24
2014,Ghana,26.4419779,19,25
2015,Ghana,40.0215698,19,26
2016,Ghana,26.8017133,19,27
2017,Ghana,16.8556397,19,28
2018,Ghana,12.400351,19,29
2019,Ghana,10.1549369,19,30
1990,Guatemala,3240.141,20,1
1991,Guatemala,2831.985,20,2
1992,Guatemala,3327.988,20,3
1993,Guatemala,3750.687,20,4
1994,Guatemala,3274.069,20,5
1995,Guatemala,3700.872001,20,6
1996,Guatemala,3978.998,20,7
1997,Guatemala,4243.882,20,8
1998,Guatemala,3541.853,20,9
1999,Guatemala,4680.601,20,10
2000,Guatemala,4851.59185,20,11
2001,Guatemala,4110.378,20,12
2002,Guatemala,3491.328,20,13
2003,Guatemala,3820.8,20,14
2004,Guatemala,3309.581,20,15
2005,Guatemala,3465.79332,20,16
2006,Guatemala,3312.109231,20,17
2007,Guatemala,3726.166958,20,18
2008,Guatemala,3777.590202,20,19
2009,Guatemala,3492.821987,20,20
2010,Guatemala,3468.087678,20,21
2011,Guatemala,3696.825498,20,22
2012,Guatemala,3750.112536,20,23
2013,Guatemala,3575.011397,20,24
2014,Guatemala,3043.438536,20,25
2015,Guatemala,2960.862008,20,26
2016,Guatemala,2991.120758,20,27
2017,Guatemala,3382.666191,20,28
2018,Guatemala,3327.489656,20,29
2019,Guatemala,3613.187992,20,30
1990,Guinea,121.696,21,1
1991,Guinea,61.447,21,2
1992,Guinea,57.52,21,3
1993,Guinea,15.469,21,4
1994,Guinea,50.4670001,21,5
1995,Guinea,151.5520001,21,6
1996,Guinea,32.43,21,7
1997,Guinea,114.344,21,8
1998,Guinea,228.18,21,9
1999,Guinea,300.7939999,21,10
2000,Guinea,292.1529999,21,11
2001,Guinea,355.8079999,21,12
2002,Guinea,135.7669999,21,13
2003,Guinea,354.647,21,14
2004,Guinea,296.202,21,15
2005,Guinea,279.4150001,21,16
2006,Guinea,518.9227253,21,17
2007,Guinea,435.6941632,21,18
2008,Guinea,208.1745163,21,19
2009,Guinea,438.7856007,21,20
2010,Guinea,405.5585284,21,21
2011,Guinea,384.5238255,21,22
2012,Guinea,377.2035436,21,23
2013,Guinea,134.2771324,21,24
2014,Guinea,24.1208056,21,25
2015,Guinea,151.692689,21,26
2016,Guinea,250.0291659,21,27
2017,Guinea,215.6914713,21,28
2018,Guinea,156.5050078,21,29
2019,Guinea,68.9079607,21,30
1990,Guyana,0.1999992,22,1
1991,Guyana,0.4219976,22,2
1992,Guyana,0.538998,22,3
1993,Guyana,0.0529992,22,4
1994,Guyana,0.4029972,22,5
1995,Guyana,0.0259992,22,6
1996,Guyana,0.3375579,22,7
1997,Guyana,0.3232662,22,8
1998,Guyana,0.2283018,22,9
1999,Guyana,1.4093593,22,10
2000,Guyana,0.5136147,22,11
2001,Guyana,1.1471951,22,12
2002,Guyana,1.0699356,22,13
2003,Guyana,0.778369,22,14
2004,Guyana,0.6408565,22,15
2005,Guyana,0.5278055,22,16
2006,Guyana,1.7099359,22,17
2007,Guyana,1.9134498,22,18
2008,Guyana,1.5186997,22,19
2009,Guyana,1.3673275,22,20
2010,Guyana,0.8025006,22,21
2011,Guyana,0.5902795,22,22
2012,Guyana,1.7670196,22,23
2013,Guyana,1.1103907,22,24
2014,Guyana,12.5399127,22,25
2015,Guyana,1.9760867,22,26
2016,Guyana,1.9671328,22,27
2017,Guyana,0.8115381,22,28
2018,Guyana,1.1789453,22,29
2019,Guyana,0.6464431,22,30
1990,Haiti,191.445,23,1
1991,Haiti,150.673,23,2
1992,Haiti,165.976,23,3
1993,Haiti,158.542,23,4
1994,Haiti,103.468,23,5
1995,Haiti,151.788,23,6
1996,Haiti,156.468,23,7
1997,Haiti,100.776,23,8
1998,Haiti,127.306,23,9
1999,Haiti,71.841,23,10
2000,Haiti,72.858,23,11
2001,Haiti,86.668,23,12
2002,Haiti,41.182,23,13
2003,Haiti,37.0220001,23,14
2004,Haiti,32.0559998,23,15
2005,Haiti,25.0990003,23,16
2006,Haiti,23.7869002,23,17
2007,Haiti,20.8177303,23,18
2008,Haiti,17.2008609,23,19
2009,Haiti,15.9158744,23,20
2010,Haiti,8.7403186,23,21
2011,Haiti,8.6211063,23,22
2012,Haiti,11.0616719,23,23
2013,Haiti,8.2794708,23,24
2014,Haiti,3.1414734,23,25
2015,Haiti,2.6611461,23,26
2016,Haiti,1.2770179,23,27
2017,Haiti,1.886211,23,28
2018,Haiti,2.0191244,23,29
2019,Haiti,1.8611867,23,30
1990,Honduras,1735.093,24,1
1991,Honduras,1444.363,24,2
1992,Honduras,1960.071,24,3
1993,Honduras,1705.317,24,4
1994,Honduras,1718.185,24,5
1995,Honduras,1795.963,24,6
1996,Honduras,2059.76,24,7
1997,Honduras,1722.482,24,8
1998,Honduras,2329.274,24,9
1999,Honduras,1986.603,24,10
2000,Honduras,2878.56,24,11
2001,Honduras,2391.613,24,12
2002,Honduras,2711.26,24,13
2003,Honduras,2425.237,24,14
2004,Honduras,2779.189,24,15
2005,Honduras,2391.90535,24,16
2006,Honduras,2898.414437,24,17
2007,Honduras,3312.008563,24,18
2008,Honduras,3259.454951,24,19
2009,Honduras,3084.187828,24,20
2010,Honduras,3349.397639,24,21
2011,Honduras,3947.141151,24,22
2012,Honduras,5507.984939,24,23
2013,Honduras,4185.118924,24,24
2014,Honduras,4251.826667,24,25
2015,Honduras,5029.667006,24,26
2016,Honduras,5305.953308,24,27
2017,Honduras,7340.843952,24,28
2018,Honduras,7143.884471,24,29
2019,Honduras,6764.564607,24,30
1990,India,1979.147999,25,1
1991,India,1727.358999,25,2
1992,India,1816.341,25,3
1993,India,2101.593,25,4
1994,India,2496.085,25,5
1995,India,2467.257001,25,6
1996,India,3103.176,25,7
1997,India,2640.111001,25,8
1998,India,3486.830003,25,9
1999,India,3621.958999,25,10
2000,India,4228.78785,25,11
2001,India,3729.701001,25,12
2002,India,3550.129999,25,13
2003,India,3707.066002,25,14
2004,India,3647.336521,25,15
2005,India,2828.932425,25,16
2006,India,3578.275087,25,17
2007,India,3319.405666,25,18
2008,India,3376.668665,25,19
2009,India,3006.562463,25,20
2010,India,4647.281111,25,21
2011,India,5414.010577,25,22
2012,India,5043.961929,25,23
2013,India,5032.638529,25,24
2014,India,5130.91427,25,25
2015,India,5262.293887,25,26
2016,India,6086.119737,25,27
2017,India,6541.501049,25,28
2018,India,5967.224604,25,29
2019,India,6027.861152,25,30
1990,Indonesia,6903.226999,26,1
1991,Indonesia,6170.796,26,2
1992,Indonesia,4603.696,26,3
1993,Indonesia,5662.094001,26,4
1994,Indonesia,4604.629999,26,5
1995,Indonesia,3946.585001,26,6
